Stazione,Monte S. Quirico,,,,,,,,,,,,,,
Codice,TOS02004291,,,,,,,,,,,,,,
Comune,Lucca,,,,,,,,,,,,,,
Provincia,LU,,,,,,,,,,,,,,
GB [m],E,1621131,N,4857138,,,,,,,,,,,
WGS84 [°],Lat,43.857,Lon,10.507,,,,,,,,,,,
Quota [m],25,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,ATTENZIONE,i,dati,sono,nel,fomato,csv,ed,utilizzano,,,,
,,,come,separatore,di,colonna,il,punto e virgola,e,,,,,,
,,,come,separatore,decimale,la,virgola,,,,,,,,
,,,verificare,le,proprie,impostazioni,internazionali,per,una,corretta,visulizzazione.,,,,
,,,Il,valore,-9999,corrisponde,a,dato,mancante,,,,,,
,,,Il,valore,contrassegnato,con,@,corrisponde,al,dato,mancante,,,,
,,,Il,valore,contrassegnato,con,V,corrisponde,al,dato,validato,,,,
,,,Il,valore,contrassegnato,con,P,corrisponde,al,dato,prevalidato,soggetto,ad,eventuali,modifiche
,,,(consultare,la,sezione,Criteri,di,validazione),,,,,,,
,,,,,,,,,,,,,,,
gg/mm/aaaa,Portata [mc/s],Tipo Dato,,,,,,,,,,,,,
20/12/2004,19,149,V,,,,,,,,,,,,
21/12/2004,16,463,V,,,,,,,,,,,,
22/12/2004,14,886,V,,,,,,,,,,,,
23/12/2004,14,606,V,,,,,,,,,,,,
24/12/2004,16,461,V,,,,,,,,,,,,
25/12/2004,13,142,V,,,,,,,,,,,,
26/12/2004,38,371,V,,,,,,,,,,,,
27/12/2004,69,554,V,,,,,,,,,,,,
28/12/2004,80,429,V,,,,,,,,,,,,
29/12/2004,96,608,V,,,,,,,,,,,,
30/12/2004,62,723,V,,,,,,,,,,,,
31/12/2004,50,44,V,,,,,,,,,,,,
01/01/2005,28,988,V,,,,,,,,,,,,
02/01/2005,26,107,V,,,,,,,,,,,,
03/01/2005,28,317,V,,,,,,,,,,,,
04/01/2005,25,404,V,,,,,,,,,,,,
05/01/2005,26,586,V,,,,,,,,,,,,
06/01/2005,20,92,V,,,,,,,,,,,,
07/01/2005,21,179,V,,,,,,,,,,,,
08/01/2005,19,672,V,,,,,,,,,,,,
09/01/2005,19,715,V,,,,,,,,,,,,
10/01/2005,20,971,V,,,,,,,,,,,,
11/01/2005,20,51,V,,,,,,,,,,,,
12/01/2005,19,549,V,,,,,,,,,,,,
13/01/2005,18,746,V,,,,,,,,,,,,
14/01/2005,17,754,V,,,,,,,,,,,,
15/01/2005,16,633,V,,,,,,,,,,,,
16/01/2005,13,971,V,,,,,,,,,,,,
17/01/2005,15,72,V,,,,,,,,,,,,
18/01/2005,34,483,V,,,,,,,,,,,,
19/01/2005,65,963,V,,,,,,,,,,,,
20/01/2005,30,984,V,,,,,,,,,,,,
21/01/2005,26,751,V,,,,,,,,,,,,
22/01/2005,24,102,V,,,,,,,,,,,,
23/01/2005,19,274,V,,,,,,,,,,,,
24/01/2005,19,746,V,,,,,,,,,,,,
25/01/2005,21,115,V,,,,,,,,,,,,
26/01/2005,19,241,V,,,,,,,,,,,,
27/01/2005,19,450,V,,,,,,,,,,,,
28/01/2005,18,302,V,,,,,,,,,,,,
29/01/2005,18,18,V,,,,,,,,,,,,
30/01/2005,14,824,V,,,,,,,,,,,,
31/01/2005,15,300,V,,,,,,,,,,,,
01/02/2005,18,554,V,,,,,,,,,,,,
02/02/2005,17,133,V,,,,,,,,,,,,
03/02/2005,16,995,V,,,,,,,,,,,,
04/02/2005,17,379,V,,,,,,,,,,,,
05/02/2005,15,72,V,,,,,,,,,,,,
06/02/2005,13,337,V,,,,,,,,,,,,
07/02/2005,14,669,V,,,,,,,,,,,,
08/02/2005,17,260,V,,,,,,,,,,,,
09/02/2005,16,437,V,,,,,,,,,,,,
10/02/2005,15,25,V,,,,,,,,,,,,
11/02/2005,15,928,V,,,,,,,,,,,,
12/02/2005,15,552,V,,,,,,,,,,,,
13/02/2005,13,999,V,,,,,,,,,,,,
14/02/2005,13,772,V,,,,,,,,,,,,
15/02/2005,16,70,V,,,,,,,,,,,,
16/02/2005,15,140,V,,,,,,,,,,,,
17/02/2005,15,218,V,,,,,,,,,,,,
18/02/2005,16,44,V,,,,,,,,,,,,
19/02/2005,15,60,V,,,,,,,,,,,,
20/02/2005,13,430,V,,,,,,,,,,,,
21/02/2005,13,855,V,,,,,,,,,,,,
22/02/2005,15,822,V,,,,,,,,,,,,
23/02/2005,15,499,V,,,,,,,,,,,,
24/02/2005,15,623,V,,,,,,,,,,,,
25/02/2005,16,433,V,,,,,,,,,,,,
26/02/2005,15,122,V,,,,,,,,,,,,
27/02/2005,15,891,V,,,,,,,,,,,,
28/02/2005,13,349,V,,,,,,,,,,,,
01/03/2005,14,797,V,,,,,,,,,,,,
02/03/2005,14,106,V,,,,,,,,,,,,
03/03/2005,16,814,V,,,,,,,,,,,,
04/03/2005,16,834,V,,,,,,,,,,,,
05/03/2005,15,858,V,,,,,,,,,,,,
06/03/2005,14,775,V,,,,,,,,,,,,
07/03/2005,14,505,V,,,,,,,,,,,,
08/03/2005,15,248,V,,,,,,,,,,,,
09/03/2005,14,804,V,,,,,,,,,,,,
10/03/2005,15,303,V,,,,,,,,,,,,
11/03/2005,16,369,V,,,,,,,,,,,,
12/03/2005,16,514,V,,,,,,,,,,,,
13/03/2005,23,393,V,,,,,,,,,,,,
14/03/2005,24,721,V,,,,,,,,,,,,
15/03/2005,26,256,V,,,,,,,,,,,,
16/03/2005,22,626,V,,,,,,,,,,,,
17/03/2005,23,31,V,,,,,,,,,,,,
18/03/2005,25,538,V,,,,,,,,,,,,
19/03/2005,24,104,V,,,,,,,,,,,,
20/03/2005,21,731,V,,,,,,,,,,,,
21/03/2005,25,202,V,,,,,,,,,,,,
22/03/2005,24,675,V,,,,,,,,,,,,
23/03/2005,23,821,V,,,,,,,,,,,,
24/03/2005,24,280,V,,,,,,,,,,,,
25/03/2005,26,324,V,,,,,,,,,,,,
26/03/2005,23,925,V,,,,,,,,,,,,
27/03/2005,27,229,V,,,,,,,,,,,,
28/03/2005,38,535,V,,,,,,,,,,,,
29/03/2005,37,367,V,,,,,,,,,,,,
30/03/2005,30,879,V,,,,,,,,,,,,
31/03/2005,29,356,V,,,,,,,,,,,,
01/04/2005,25,885,V,,,,,,,,,,,,
02/04/2005,19,820,V,,,,,,,,,,,,
03/04/2005,18,170,V,,,,,,,,,,,,
04/04/2005,21,770,V,,,,,,,,,,,,
05/04/2005,21,433,V,,,,,,,,,,,,
06/04/2005,19,717,V,,,,,,,,,,,,
07/04/2005,17,625,V,,,,,,,,,,,,
